DTXSID	activity
DTXSID2025395	0.000000
DTXSID2025478	0.000000
DTXSID2025505	0.000007
DTXSID2025680	-0.000000
DTXSID2025842	0.000006
DTXSID2026496	0.000000
DTXSID2026232	-0.000000
DTXSID2026523	0.000000
DTXSID2026943	0.000000
DTXSID2027204	0.000000
DTXSID2027466	0.000000
DTXSID2027206	0.000004
DTXSID2029298	0.000186
DTXSID2029874	-0.000003
DTXSID2032348	0.020403
DTXSID2032390	0.000000
DTXSID2032344	-0.000000
DTXSID2032550	0.000000
DTXSID2032554	-0.000000
DTXSID2032421	0.733970
DTXSID2032558	0.000000
DTXSID2032398	0.000000
DTXSID2033314	-0.005860
DTXSID2034700	0.000000
DTXSID2035481	-0.000000
DTXSID2036112	-0.000000
DTXSID2037712	1.000000
DTXSID2038788	0.000479
DTXSID2040363	0.000000
DTXSID2041206	-0.000021
DTXSID2040787	-0.000035
DTXSID2042276	-0.000000
DTXSID2041759	-0.000000
DTXSID2042220	0.000000
DTXSID2044391	0.000000
DTXSID2044507	0.000000
DTXSID2044890	0.007737
DTXSID2045076	0.000000
DTXSID2045072	0.000001
DTXSID2044971	0.000000
DTXSID2047191	-0.000002
DTXSID2047307	-0.000463
DTXSID2047357	0.000001
DTXSID2047353	-0.008867
DTXSID2047569	0.991844
DTXSID2048167	0.000031
DTXSID3020043	0.002841
DTXSID3020122	-0.000000
DTXSID3020207	-0.000001
DTXSID3020257	-0.004261
DTXSID3020415	-0.000000
DTXSID3020625	0.000000
DTXSID3020706	-0.991587
DTXSID3020960	0.000068
DTXSID3020964	0.000000
DTXSID3021148	0.000000
DTXSID3021770	0.995610
DTXSID3022162	0.000000
DTXSID3022320	0.000000
DTXSID3022370	-0.000805
DTXSID3022536	0.999998
DTXSID3022409	0.999865
DTXSID3022455	-0.000000
DTXSID3023897	0.000000
DTXSID3023685	-0.000000
DTXSID3023899	-0.000000
DTXSID3024154	-0.000000
DTXSID3024239	-0.000000
DTXSID3024940	0.000000
DTXSID3025469	-0.000000
DTXSID3025540	0.000047
DTXSID3025881	0.000000
DTXSID3026564	0.000739
DTXSID3026691	-0.999999
DTXSID3026697	0.000000
DTXSID3027320	0.000000
DTXSID3029572	0.999994
DTXSID3029653	-0.000029
DTXSID3031860	0.000005
DTXSID3031864	0.000000
DTXSID3032464	0.000000
DTXSID3032389	0.000000
DTXSID3032622	-0.002966
DTXSID3032549	0.000002
DTXSID3032628	-0.000000
DTXSID3034113	0.000013
DTXSID3034165	0.846307
DTXSID3034612	0.000000
DTXSID3034872	-0.000000
DTXSID3036286	0.000000
DTXSID3034618	0.000000
DTXSID3036496	0.000000
DTXSID3047477	0.024029
DTXSID3037208	0.000000
DTXSID3037094	0.989723
DTXSID3038939	0.000000
DTXSID3038808	-0.000000
DTXSID3041293	-0.000000
DTXSID3040776	0.032817
DTXSID3040722	-0.000000
DTXSID3041376	-0.000020
DTXSID3041409	0.005928
DTXSID3041405	0.000000
DTXSID3041665	0.000000
DTXSID3041794	0.000094
DTXSID3041617	0.141450
DTXSID3042180	0.000000
DTXSID3042261	-0.000202
DTXSID3042500	0.000000
DTXSID3044205	0.000000
DTXSID3042633	0.000232
DTXSID3044544	0.001468
DTXSID3044590	0.020275
DTXSID3044623	0.000000
DTXSID3044833	0.000012
DTXSID3044962	0.000018
DTXSID3044966	-0.000001
DTXSID3047132	0.000003
DTXSID3047138	0.000000
DTXSID3047342	0.000001
DTXSID3047344	0.000002
DTXSID3047504	0.000000
DTXSID3047429	-0.000008
DTXSID3047681	0.000000
DTXSID3047683	0.000000
DTXSID4020450	0.000000
DTXSID4020375	0.000000
DTXSID4020458	0.000013
DTXSID4020379	0.966837
DTXSID4020666	0.000000
DTXSID4020618	0.000015
DTXSID4020791	-0.000000
DTXSID4020828	0.002015
DTXSID4020822	-0.000000
DTXSID4020957	-0.000000
DTXSID4020870	-0.000000
DTXSID4021218	-0.000000
DTXSID4021185	-0.000000
DTXSID4021268	0.028930
DTXSID4021395	-0.000000
DTXSID4021478	1.000000
DTXSID4021559	-0.000002
DTXSID4021715	0.000000
DTXSID4021975	-0.006690
DTXSID4021977	-0.000324
DTXSID4021894	-0.000435
DTXSID4022311	0.000956
DTXSID4022361	0.000000
DTXSID4022442	1.000000
DTXSID4022446	-0.000000
DTXSID4022525	1.000000
DTXSID4022731	0.000000
DTXSID4022367	1.000000
DTXSID4022369	1.000000
DTXSID4023200	-0.000000
DTXSID4022999	1.000000
DTXSID4023202	-0.000001
DTXSID4023412	-0.000000
DTXSID4024018	0.000000
DTXSID4024270	0.000007
DTXSID4024195	-0.000011
DTXSID4024272	-0.000000
DTXSID4024274	-0.001789
DTXSID4024276	-0.000000
DTXSID4026181	-0.000007
DTXSID4026214	0.000000
DTXSID4027072	0.000000
DTXSID4027236	0.000000
DTXSID4027282	0.000000
DTXSID4027525	0.000000
DTXSID4027781	0.000589
DTXSID4027608	0.000000
DTXSID4029698	0.000000
DTXSID4031980	0.941539
DTXSID4032580	0.000000
DTXSID4032611	-0.000001
DTXSID4032613	0.000000
DTXSID4032667	0.000000
DTXSID4034497	-0.047060
DTXSID4034948	-0.000000
DTXSID4034653	0.000000
DTXSID4038922	-0.000028
DTXSID4040268	-0.000000
DTXSID4040767	-0.000000
DTXSID4041367	0.000000
DTXSID4041527	0.000000
DTXSID4041600	0.953451
DTXSID4042123	0.977528
DTXSID4042129	-0.000000
DTXSID4041995	0.033867
DTXSID4042206	-0.000001
DTXSID4042418	0.999673
DTXSID4042256	-0.524589
DTXSID4042462	0.000000
DTXSID4044379	0.000021
DTXSID4044161	0.000000
DTXSID4044402	0.000038
DTXSID4044581	-0.000000
DTXSID4044585	-0.000001
DTXSID4044872	0.000000
DTXSID4044589	-0.000000
DTXSID4044955	0.000000
DTXSID4047127	1.000000
DTXSID4047252	-0.000000
DTXSID4047337	-0.000015
DTXSID4047387	-0.001624
DTXSID4047381	-0.004490
DTXSID4047418	0.000000
DTXSID4048511	0.006344
DTXSID4048519	0.999999
DTXSID5020154	0.999690
DTXSID5020233	-0.949038
DTXSID5020283	0.000001
DTXSID5020310	-0.000002
DTXSID5020449	-0.000000
DTXSID5020239	-0.000000
DTXSID5020366	0.001701
DTXSID5020576	1.000000
DTXSID5020570	-0.000000
DTXSID5020607	0.000000
DTXSID5020653	0.000000
DTXSID5020730	0.000000
DTXSID5020811	0.000098
DTXSID5020819	-0.000002
DTXSID5021097	0.000000
DTXSID5021126	0.000006
DTXSID5021209	0.999937
DTXSID5021413	-0.000000
DTXSID5021590	-0.000002
DTXSID5021835	-0.000000
DTXSID5021885	0.000000
DTXSID5022308	1.000000
DTXSID5022437	0.999923
DTXSID5022439	0.999717
DTXSID5022510	0.000000
DTXSID5023035	-0.000000
DTXSID5023324	0.000000
DTXSID5023322	0.999964
DTXSID5023792	0.003880
DTXSID5023950	0.000000
DTXSID5024182	0.000007
DTXSID5024344	0.000000
DTXSID5024394	0.000000
DTXSID5024687	0.000001
DTXSID5024891	-0.018993
DTXSID5025023	0.000509
DTXSID5025607	0.000000
DTXSID5026251	0.000000
DTXSID5026548	-0.000000
DTXSID5026706	-0.000000
DTXSID5027142	-0.001296
DTXSID5027198	0.000000
DTXSID5027308	-0.000000
DTXSID5027356	0.000001
DTXSID5027774	0.000000
DTXSID5029136	-0.000000
DTXSID5029265	-0.000000
DTXSID5032442	-0.000000
DTXSID5032498	0.000000
DTXSID5032361	0.000000
DTXSID5032365	0.000000
DTXSID5032577	0.000000
DTXSID5034723	0.000000
DTXSID5034773	-0.000000
DTXSID5035589	0.000000
DTXSID5035616	-0.000000
DTXSID5035957	0.000000
DTXSID5037028	0.000141
DTXSID5034981	0.000665
DTXSID5037571	0.000000
DTXSID5037731	0.156313
DTXSID5037498	-0.000267
DTXSID5037494	-0.000000
DTXSID5037523	-0.000000
DTXSID5037739	0.967055
DTXSID5038888	-0.938537
DTXSID5041275	0.000315
DTXSID5041308	0.000001
DTXSID5041306	1.000000
DTXSID5041512	0.000014
DTXSID5041691	-0.000000
DTXSID5041772	-0.001644
DTXSID5041728	-0.655554
DTXSID5041851	0.000000
DTXSID5042299	-0.000000
DTXSID5042243	0.182305
DTXSID5041778	-0.000000
DTXSID5042249	-0.998182
DTXSID5044366	-0.001333
DTXSID5044528	0.000179
DTXSID5044817	-0.000005
DTXSID5044786	-0.000256
DTXSID5044992	0.000000
DTXSID5047160	-0.000000
DTXSID5047112	0.000000
DTXSID5047297	0.005034
DTXSID5047295	0.000175
DTXSID5047249	0.000000
DTXSID5047324	-0.023841
DTXSID5047320	-0.000270
DTXSID5047328	-0.000000
DTXSID5047322	0.000000
DTXSID5047372	0.000000
DTXSID5047530	-0.000001
DTXSID5048184	0.000000
DTXSID5048182	-0.000000
DTXSID6020064	0.000273
DTXSID6020066	-0.000000
DTXSID6020068	-0.000033
DTXSID6020197	0.000000
DTXSID6020143	-0.000021
DTXSID6020226	0.000000
DTXSID6020359	-0.000000
DTXSID6020278	0.000000
DTXSID6020561	-0.000000
DTXSID6020779	0.000000
DTXSID6020690	0.000000
DTXSID6021030	0.000000
DTXSID6021086	0.000000
DTXSID6021244	0.000000
DTXSID6021373	0.005094
DTXSID6021248	-0.000000
DTXSID6021032	-0.000029
DTXSID6021824	0.885010
DTXSID6021959	0.000007
DTXSID6022391	0.009038
DTXSID6022345	0.000000
DTXSID6022474	-0.000025
DTXSID6023159	0.000075
DTXSID6023652	-0.000003
DTXSID6024046	0.742282
DTXSID6023733	-0.000001
DTXSID6023868	0.000735
DTXSID6023864	-0.000005
DTXSID6024204	-0.000002
DTXSID6024206	-0.842673
DTXSID6024177	0.000000
DTXSID6024123	-0.000000
DTXSID6024624	0.000036
DTXSID6024888	0.000000
DTXSID6024882	0.000000
DTXSID6025226	1.000000
DTXSID6025436	-0.000000
DTXSID6027131	0.000000
DTXSID6027185	0.000563
DTXSID6027345	0.041552
DTXSID6028022	0.000000
DTXSID6032354	-0.000000
DTXSID6032352	-0.000000
DTXSID6032514	0.000000
DTXSID6032645	-0.000019
DTXSID6032562	0.000000
DTXSID6034186	-0.000293
DTXSID6032649	-0.000000
DTXSID6034712	-0.000000
DTXSID6036467	0.000000
DTXSID6037728	0.000000
DTXSID6038877	0.000000
DTXSID6040745	0.015345
DTXSID6040747	0.000000
DTXSID6041472	0.000027
DTXSID6041422	-0.000004
DTXSID6041682	-0.000004
DTXSID6041977	0.000000
DTXSID6043915	0.000000
DTXSID6044309	-0.000001
DTXSID6044430	0.000000
DTXSID6044519	-0.000000
DTXSID6044642	-0.000168
DTXSID6044646	-0.000667
DTXSID6047103	0.000000
DTXSID6046977	0.000000
DTXSID6046979	0.000000
DTXSID6047109	0.000000
DTXSID6047288	-0.910004
DTXSID6047280	0.000000
DTXSID6047311	-0.000000
DTXSID6047315	-1.000000
DTXSID6047498	0.001320
DTXSID6047446	-0.000038
DTXSID6047369	0.004329
DTXSID7020182	1.000000
DTXSID7020005	0.000753
DTXSID7020267	0.000036
DTXSID7020479	-0.000031
DTXSID7020685	-0.000142
DTXSID7020768	0.000000
DTXSID7020766	0.000000
DTXSID7020843	0.128667
DTXSID7020845	0.000000
DTXSID7021106	0.000009
DTXSID7020972	0.002712
DTXSID7021150	-0.000000
DTXSID7021152	-1.000000
DTXSID7021029	1.000000
DTXSID7021100	-0.000001
DTXSID7021314	0.000850
DTXSID7021237	-0.995731
DTXSID7021316	0.000004
DTXSID7021491	0.847849
DTXSID7021788	0.000037
DTXSID7021784	-0.515094
DTXSID7021948	0.000000
DTXSID7022411	-0.000000
DTXSID7022332	0.002648
DTXSID7022174	0.000298
DTXSID7023063	-0.000000
DTXSID7022679	-0.000000
DTXSID7022598	-0.000142
DTXSID7023194	0.000000
DTXSID7023645	0.000000
DTXSID7023980	0.000000
DTXSID7024035	0.000000
DTXSID7024031	-0.000000
DTXSID7024164	0.000000
DTXSID7024291	0.000000
DTXSID7024160	0.000000
DTXSID7024299	-0.000020
DTXSID7024873	-0.000000
DTXSID7024827	-0.000000
DTXSID7024245	0.000000
DTXSID7024902	-0.000000
DTXSID7025003	-0.000000
DTXSID7025055	-0.000000
DTXSID7024538	-0.999940
DTXSID7025217	-0.000000
DTXSID7025502	0.000146
DTXSID7025506	-0.000000
DTXSID7026946	1.000000
DTXSID7027205	-0.000000
DTXSID7027461	0.000000
DTXSID7027540	-0.000004
DTXSID7027756	0.000000
DTXSID7028300	-0.000000
DTXSID7029162	-1.000000
DTXSID7028015	0.000000
DTXSID7029241	0.000000
DTXSID7029871	0.000005
DTXSID7029904	0.000000
DTXSID7029879	-0.000002
DTXSID7030698	0.999983
DTXSID7032004	-0.000000
DTXSID7032345	0.000000
DTXSID7034250	0.000000
DTXSID7034252	0.000000
DTXSID7034674	-0.000001
DTXSID7034676	-0.000000
DTXSID7034961	-0.000002
DTXSID7037555	0.000000
DTXSID7037715	0.097313
DTXSID7037717	1.000000
DTXSID7037553	0.000000
DTXSID7037262	0.674427
DTXSID7038864	0.000308
DTXSID7040283	0.000000
DTXSID7040287	0.000000
DTXSID7040738	0.000000
DTXSID7040990	-0.000000
DTXSID7041461	0.000000
DTXSID7041629	-0.000017
DTXSID7041883	-0.000000
DTXSID7041966	-0.000000
DTXSID7041887	0.000000
DTXSID7041889	0.973248
DTXSID7041910	0.000001
DTXSID7042011	-0.000000
DTXSID7042019	0.000000
DTXSID7042273	0.000000
DTXSID7042065	0.000010
DTXSID7044394	0.998999
DTXSID7044504	0.000001
DTXSID7044639	0.040965
DTXSID7044841	0.000025
DTXSID7047146	1.000000
DTXSID7047144	0.000000
DTXSID7047304	0.998839
DTXSID7047271	0.000000
DTXSID7047277	0.000000
DTXSID7047308	-0.000000
DTXSID7047512	0.000000
DTXSID7047358	0.000000
DTXSID7047433	1.000000
DTXSID7047487	0.001961
DTXSID7047649	0.000007
DTXSID7048168	0.000000
DTXSID8020040	-0.000000
DTXSID8020337	1.000000
DTXSID8020541	0.000000
DTXSID8020620	0.000000
DTXSID8020674	0.000000
DTXSID8020759	0.000000
DTXSID8020961	-0.894301
DTXSID8020963	-0.000000
DTXSID8021199	-1.000000
DTXSID8021272	-0.000016
DTXSID8021301	1.000000
DTXSID8021640	0.000000
DTXSID8021642	0.000000
DTXSID8021771	0.000026
DTXSID8022325	1.000000
DTXSID8022111	0.000000
DTXSID8022161	-0.000001
DTXSID8022589	-0.011755
DTXSID8022828	0.000000
DTXSID8022377	1.000000
DTXSID8022406	0.999959
DTXSID8022408	0.895468
DTXSID8022959	0.000009
DTXSID8023474	0.000000
DTXSID8023719	0.000001
DTXSID8023846	-0.000000
DTXSID8024072	0.000000
DTXSID8024101	0.000000
DTXSID8023927	0.000000
DTXSID8024157	0.000001
DTXSID8024109	0.000000
DTXSID8024151	0.000000
DTXSID8024159	-0.000003
DTXSID8024234	-0.000000
DTXSID8024284	1.000000
DTXSID8024315	0.000000
DTXSID8024238	0.000000
DTXSID8024280	-0.000249
DTXSID8024523	-0.000385
DTXSID8024814	0.000000
DTXSID8025595	-0.000000
DTXSID8026725	0.000000
DTXSID8027036	0.000000
DTXSID8026773	0.000000
DTXSID8027323	-0.000000
DTXSID8027246	-0.000000
DTXSID8027454	0.000000
DTXSID8027795	0.000000
DTXSID8027793	-0.000000
DTXSID8029282	1.000000
DTXSID8029650	0.876099
DTXSID8029868	-0.000000
DTXSID8031863	0.000000
DTXSID8031865	0.000000
DTXSID8033562	0.000000
DTXSID8033566	-0.706334
DTXSID8034586	-0.000000
DTXSID8035180	0.000000
DTXSID8035001	0.000000
DTXSID8037752	-0.000104
DTXSID8037708	0.000002
DTXSID8037754	0.000000
DTXSID8037706	0.007482
DTXSID8040278	0.000000
DTXSID8038801	0.000000
DTXSID8038857	-0.000001
DTXSID8040725	0.000000
DTXSID8040721	0.999999
DTXSID8041379	-0.000001
DTXSID8041248	-0.000000
DTXSID8041242	0.057537
DTXSID8041610	-0.000012
DTXSID8042264	-0.000000
DTXSID8042260	0.000142
DTXSID8042399	-0.210370
DTXSID8042509	-0.000000
DTXSID8044381	0.000000
DTXSID8044200	0.000000
DTXSID8044337	-0.001513
DTXSID8044549	0.000169
DTXSID8044545	0.000000
DTXSID8044913	-0.000000
DTXSID8044915	-0.000000
DTXSID8047183	0.000000
DTXSID8047187	-0.028795
DTXSID8047347	0.000000
DTXSID8047349	0.000000
DTXSID8047553	0.053043
DTXSID8047476	-0.000008
DTXSID9020112	-0.000000
DTXSID9020114	-0.000000
DTXSID9020293	0.000000
DTXSID9020243	-0.000005
DTXSID9020299	-0.000000
DTXSID9020372	-0.001363
DTXSID9020374	0.000000
DTXSID9020451	0.000000
DTXSID9020453	-0.000001
DTXSID9020407	0.000000
DTXSID9020740	0.000000
DTXSID9020792	0.000000
DTXSID9020827	-0.000000
DTXSID9020958	0.295629
DTXSID9021342	0.000042
DTXSID9021390	0.000000
DTXSID9021554	0.000000
DTXSID9021764	0.000084
DTXSID9022360	0.999999
DTXSID9022310	1.000000
DTXSID9022364	0.027811
DTXSID9022366	1.000000
DTXSID9022607	0.001143
DTXSID9023380	1.000000
DTXSID9024431	-0.000001
DTXSID9024772	-0.000011
DTXSID9024691	0.000000
DTXSID9025110	0.000849
DTXSID9024986	0.000000
DTXSID9025401	0.000019
DTXSID9026261	-0.000000
DTXSID9026265	0.000033
DTXSID9026500	0.000000
DTXSID9027314	0.000000
DTXSID9027360	0.000000
DTXSID9029146	-0.000000
DTXSID9029649	0.000000
DTXSID9032329	0.000000
DTXSID9032531	0.000000
DTXSID9032327	-0.000000
DTXSID9032537	0.000000
DTXSID9032589	0.000000
DTXSID9033187	0.000000
DTXSID9034232	0.000000
DTXSID9033923	0.000000
DTXSID9034573	0.000000
DTXSID9034816	-0.000000
DTXSID9034818	-0.000000
DTXSID9036515	0.000000
DTXSID9036690	-0.000000
DTXSID9037749	0.000000
DTXSID9037539	-0.000000
DTXSID9040265	-0.000101
DTXSID9040001	-0.000000
DTXSID9040269	0.000000
DTXSID9040683	0.000013
DTXSID9040760	0.003547
DTXSID9040716	0.999997
DTXSID9041289	-0.001256
DTXSID9042124	0.015340
DTXSID9041524	0.000000
DTXSID9042203	-0.002023
DTXSID9042209	0.000000
DTXSID9044615	0.554743
DTXSID9044613	-0.000002
DTXSID9044796	0.028044
DTXSID9044825	-0.000000
DTXSID9044950	0.000000
DTXSID9047257	0.000018
DTXSID9047253	-0.000000
DTXSID9047330	-0.000000
DTXSID9047338	0.000001
DTXSID9047334	0.000000
DTXSID9047540	0.040666
DTXSID9047542	0.000002
DTXSID9047598	0.999992
DTXSID9047629	0.000000
DTXSID9048510	-0.000035
DTXSID9048194	0.000000
DTXSID9048196	1.000000
DTXSID9048518	-0.000000
DTXSID9048514	0.000000
DTXSID0021094	0.000000
DTXSID0022777	0.000000
DTXSID0023907	-0.000000
DTXSID0023951	-0.000000
DTXSID0025812	-0.000000
DTXSID0025864	-0.000370
DTXSID0026915	0.000000
DTXSID0032316	0.081828
DTXSID0034518	-0.000009
DTXSID0037730	0.124356
DTXSID0037734	-0.000000
DTXSID0040707	-0.000170
DTXSID0041357	0.000000
DTXSID0041359	0.000117
DTXSID0042169	0.858472
DTXSID0046989	0.000003
DTXSID0047290	-0.000231
DTXSID0047533	-0.000000
DTXSID0047957	0.706232
DTXSID0048189	0.000001
DTXSID1020069	0.000015
DTXSID1020433	0.000001
DTXSID1020510	0.000000
DTXSID1020699	0.572801
DTXSID1021243	0.999447
DTXSID1021247	-0.000000
DTXSID1021372	0.005658
DTXSID1021956	0.000000
DTXSID1022508	0.904779
DTXSID1025148	-0.000000
DTXSID1025805	0.078903
DTXSID1027479	-0.000004
DTXSID1040112	0.012610
DTXSID1044514	0.999684
DTXSID2020137	-0.000000
DTXSID2021781	0.000000
DTXSID2021995	-0.000000
DTXSID2022171	0.000000
DTXSID2023224	0.000000
DTXSID2024458	-0.004241
DTXSID2025892	0.000000
DTXSID2026739	-0.000000
DTXSID2029246	0.000000
DTXSID2034598	-0.000000
DTXSID2036588	0.480006
DTXSID2038732	-0.963940
DTXSID2037714	-0.000000
DTXSID2041622	-0.000005
DTXSID2044395	-0.000000
DTXSID2044844	-0.000000
DTXSID2045232	0.000000
DTXSID2047272	-0.000001
DTXSID3020205	0.000004
DTXSID3020209	0.999335
DTXSID3020465	1.000000
DTXSID3020704	0.000000
DTXSID3021643	0.009145
DTXSID3026560	-0.000000
DTXSID3027403	-0.000000
DTXSID3032751	-0.000012
DTXSID3033307	0.000000
DTXSID3035266	0.000000
DTXSID3036288	-0.000524
DTXSID3037757	0.000000
DTXSID3040728	-0.000005
DTXSID3041619	-0.000000
DTXSID3042477	0.000000
DTXSID3047425	0.000042
DTXSID3047558	0.000000
DTXSID4020290	0.000000
DTXSID4020296	0.000001
DTXSID4021135	0.000016
DTXSID4021553	0.000000
DTXSID4021717	0.000004
DTXSID4021848	-0.000000
DTXSID4022153	-0.000000
DTXSID4022448	-0.006316
DTXSID4022527	0.002443
DTXSID4022523	0.999751
DTXSID4022529	0.000000
DTXSID4024062	0.000000
DTXSID4034576	0.116351
DTXSID4040002	0.000000
DTXSID4040713	0.970419
DTXSID4042090	0.000000
DTXSID4044668	0.000000
DTXSID4047462	0.000003
DTXSID4047545	-0.000000
DTXSID4047882	0.012126
DTXSID4048191	0.001160
DTXSID4048195	0.000000
DTXSID5020029	-0.000000
DTXSID5020867	0.000000
DTXSID5021201	0.000000
DTXSID5023243	-0.000000
DTXSID5023796	0.339433
DTXSID5023902	-0.000000
DTXSID5024059	-0.044694
DTXSID5025021	0.000000
DTXSID5025231	0.891073
DTXSID5025730	-0.000799
DTXSID5025861	0.789328
DTXSID5027061	0.956498
DTXSID5031131	0.000000
DTXSID5032315	0.999998
DTXSID5033836	0.000000
DTXSID5040708	0.000536
DTXSID5041641	0.000000
DTXSID5042459	-0.000742
DTXSID5042089	0.000000
DTXSID5044520	0.000000
DTXSID5044576	0.000000
DTXSID5044607	0.999999
DTXSID5044815	-0.000000
DTXSID5044865	-0.000569
